Location Description,ID
ABANDONED BUILDING,3
ALLEY,61
APARTMENT,75
AUTO,115
BARBER SHOP/BEAUTY SALON,3
CHA APARTMENT,3
CHA ELEVATOR,1
CHA GROUNDS,1
CHA HALLWAY,1
CHA PARKING LOT,7
CLUB,1
"CTA ""L"" PLATFORM",2
CTA PROPERTY,1
DRIVEWAY,1
ELEVATOR,1
GANGWAY,2
GARAGE,2
GAS STATION,12
GAS STATION DRIVE/PROP.,9
HALLWAY,6
HOSPITAL,3
HOTEL,3
HOUSE,28
LAKE,1
LIQUOR STORE,1
MOTEL,1
NURSING HOME,1
OFFICE,1
PARK PROPERTY,11
PARKING LOT,22
PORCH,23
RESTAURANT,2
RETAIL STORE,10
SCHOOL YARD,1
STAIRWELL,1
STREET,493
VACANT LOT,11
VESTIBULE,6
YARD,34
