Location Description,ID
ABANDONED BUILDING,144
AIRCRAFT,37
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,133
AIRPORT BUILDING NON-TERMINAL - SECURE AREA,60
AIRPORT EXTERIOR - NON-SECURE AREA,77
AIRPORT EXTERIOR - SECURE AREA,32
AIRPORT PARKING LOT,78
AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,139
AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,45
AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA,7
AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,87
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,185
AIRPORT TRANSPORTATION SYSTEM (ATS),7
AIRPORT VENDING ESTABLISHMENT,39
AIRPORT/AIRCRAFT,39
ALLEY,5860
ANIMAL HOSPITAL,33
APARTMENT,47965
APPLIANCE STORE,149
ATHLETIC CLUB,239
ATM (AUTOMATIC TELLER MACHINE),275
AUTO,115
AUTO / BOAT / RV DEALERSHIP,294
BANK,1006
BAR OR TAVERN,797
BARBER SHOP/BEAUTY SALON,3
BARBERSHOP,209
BOAT / WATERCRAFT,25
BOWLING ALLEY,14
BRIDGE,15
CAR WASH,127
CEMETARY,17
CHA APARTMENT,840
CHA ELEVATOR,1
CHA GROUNDS,1
CHA HALLWAY,1
CHA HALLWAY / STAIRWELL / ELEVATOR,161
CHA HALLWAY/STAIRWELL/ELEVATOR,37
CHA PARKING LOT,7
CHA PARKING LOT / GROUNDS,446
CHA PARKING LOT/GROUNDS,59
CHURCH / SYNAGOGUE / PLACE OF WORSHIP,347
CHURCH/SYNAGOGUE/PLACE OF WORSHIP,62
CLEANING STORE,114
CLUB,1
COIN OPERATED MACHINE,24
COLLEGE / UNIVERSITY - GROUNDS,49
COLLEGE / UNIVERSITY - RESIDENCE HALL,15
COLLEGE/UNIVERSITY GROUNDS,17
COLLEGE/UNIVERSITY RESIDENCE HALL,7
COMMERCIAL / BUSINESS OFFICE,2260
CONSTRUCTION SITE,283
CONVENIENCE STORE,2265
CREDIT UNION,15
"CTA ""L"" PLATFORM",2
CTA BUS,863
CTA BUS STOP,455
CTA GARAGE / OTHER PROPERTY,52
CTA PARKING LOT / GARAGE / OTHER PROPERTY,163
CTA PLATFORM,617
CTA PROPERTY,1
CTA STATION,652
CTA TRACKS - RIGHT OF WAY,22
CTA TRAIN,1412
CURRENCY EXCHANGE,321
DAY CARE CENTER,129
DEPARTMENT STORE,2912
DRIVEWAY,1
DRIVEWAY - RESIDENTIAL,758
DRUG STORE,1344
ELEVATOR,1
FACTORY / MANUFACTURING BUILDING,121
FACTORY/MANUFACTURING BUILDING,14
FARM,1
FEDERAL BUILDING,40
FIRE STATION,58
FOREST PRESERVE,21
GANGWAY,2
GARAGE,2
GAS STATION,4212
GAS STATION DRIVE/PROP.,9
GOVERNMENT BUILDING / PROPERTY,407
GOVERNMENT BUILDING/PROPERTY,59
GROCERY FOOD STORE,3089
HALLWAY,6
HIGHWAY / EXPRESSWAY,61
HIGHWAY/EXPRESSWAY,10
HOSPITAL,3
HOSPITAL BUILDING / GROUNDS,1136
HOSPITAL BUILDING/GROUNDS,225
HOTEL,3
HOTEL / MOTEL,1112
HOTEL/MOTEL,192
HOUSE,28
JAIL / LOCK-UP FACILITY,49
KENNEL,3
LAKE,1
LAKEFRONT / WATERFRONT / RIVERBANK,38
LAKEFRONT/WATERFRONT/RIVERBANK,3
LIBRARY,148
LIQUOR STORE,1
MEDICAL / DENTAL OFFICE,296
MEDICAL/DENTAL OFFICE,37
MOTEL,1
MOVIE HOUSE / THEATER,18
MOVIE HOUSE/THEATER,18
NEWSSTAND,5
NURSING / RETIREMENT HOME,711
NURSING HOME,1
NURSING HOME/RETIREMENT HOME,149
OFFICE,1
OTHER,1388
OTHER (SPECIFY),5542
OTHER COMMERCIAL TRANSPORTATION,95
OTHER RAILROAD PROP / TRAIN DEPOT,14
OTHER RAILROAD PROPERTY / TRAIN DEPOT,122
PARK PROPERTY,1007
PARKING LOT,22
PARKING LOT / GARAGE (NON RESIDENTIAL),6089
PARKING LOT/GARAGE(NON.RESID.),930
PAWN SHOP,56
POLICE FACILITY / VEHICLE PARKING LOT,768
POLICE FACILITY/VEH PARKING LOT,96
POOL ROOM,38
PORCH,23
RESIDENCE,48085
RESIDENCE - GARAGE,2951
RESIDENCE - PORCH / HALLWAY,4083
RESIDENCE - YARD (FRONT / BACK),3896
RESIDENCE PORCH/HALLWAY,685
RESIDENCE-GARAGE,334
RESIDENTIAL YARD (FRONT/BACK),477
RESTAURANT,4191
RETAIL STORE,10
SAVINGS AND LOAN,15
SCHOOL - PRIVATE BUILDING,166
SCHOOL - PRIVATE GROUNDS,71
SCHOOL - PUBLIC BUILDING,460
SCHOOL - PUBLIC GROUNDS,259
SCHOOL YARD,1
"SCHOOL, PRIVATE, BUILDING",96
"SCHOOL, PRIVATE, GROUNDS",30
"SCHOOL, PUBLIC, BUILDING",622
"SCHOOL, PUBLIC, GROUNDS",150
SIDEWALK,15853
SMALL RETAIL STORE,6375
SPORTS ARENA / STADIUM,62
SPORTS ARENA/STADIUM,33
STAIRWELL,1
STREET,63439
TAVERN / LIQUOR STORE,429
TAVERN/LIQUOR STORE,94
TAXICAB,84
VACANT LOT,11
VACANT LOT / LAND,589
VACANT LOT/LAND,86
VEHICLE - COMMERCIAL,143
VEHICLE - COMMERCIAL: ENTERTAINMENT / PARTY BUS,6
VEHICLE - COMMERCIAL: TROLLEY BUS,3
VEHICLE - DELIVERY TRUCK,65
"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",24
"VEHICLE - OTHER RIDE SHARE SERVICE (LYFT, UBER, ETC.)",142
VEHICLE NON-COMMERCIAL,3779
VEHICLE-COMMERCIAL,23
VESTIBULE,6
WAREHOUSE,249
YARD,34
